iter	Accuracy	MultiClass
0	0.3259979708	1.3807914
1	0.3333799811	1.375987842
2	0.3475492426	1.371345828
3	0.3568204877	1.365938389
4	0.3604939999	1.362127763
5	0.3674561802	1.357311801
6	0.3704999475	1.353075778
7	0.3806983172	1.349398907
8	0.3808382605	1.346326469
9	0.3815204842	1.343228873
10	0.3824825945	1.339898218
11	0.3798936431	1.337627151
12	0.381153133	1.335304595
13	0.3865759367	1.332257589
14	0.3952874086	1.329971428
15	0.3988909492	1.327313175
16	0.3994682154	1.324870024
17	0.4106461883	1.322610729
18	0.4124654515	1.319811264
19	0.4146170801	1.317407549
20	0.4151243746	1.315815298
21	0.4174509324	1.313619792
22	0.4201973201	1.310911401
23	0.4228037645	1.308796393
24	0.4227162999	1.307404401
25	0.4230486653	1.30550529
26	0.4232585803	1.304471833
27	0.4277192737	1.302601838
28	0.4280341462	1.300911636
29	0.430763041	1.299138419
30	0.4352237344	1.297680157
31	0.4354336494	1.296008182
32	0.4317076584	1.294843244
33	0.4326872617	1.293461484
34	0.4322149529	1.292162594
35	0.4347864115	1.291100192
36	0.4369380401	1.290007431
37	0.4383899521	1.289116387
38	0.4390022041	1.287640549
39	0.4396669349	1.286289006
40	0.4399468215	1.284797814
41	0.440471609	1.283848984
42	0.4415911556	1.282693368
43	0.4406290452	1.281263087
44	0.442745688	1.280156561
45	0.4434104188	1.278736471
46	0.4445299654	1.27778179
47	0.4432354896	1.276858411
48	0.4443200504	1.275761772
49	0.4439177133	1.274618984
50	0.4443200504	1.273924416
51	0.4449148095	1.272851065
52	0.4473113389	1.27188313
53	0.447713676	1.27098899
54	0.4484308855	1.270196134
55	0.4498653046	1.269046248
56	0.4511073015	1.267774856
57	0.4526991568	1.267031582
58	0.4531539726	1.26611464
59	0.4550607004	1.265091573
60	0.4551306721	1.264278851
61	0.4554280516	1.263438648
62	0.4559353462	1.26265128
63	0.4568274849	1.261778276
64	0.4567750061	1.261005582
65	0.4563201903	1.259971876
66	0.4564776266	1.259109709
67	0.4570723857	1.258351163
68	0.4580519889	1.25763938
69	0.4583668614	1.256871037
70	0.4603610538	1.256257142
71	0.4607109121	1.25540189
72	0.4610432775	1.254598057
73	0.4612881783	1.253862332
74	0.4618129657	1.25311224
75	0.4624776965	1.252407492
76	0.4628100619	1.251453795
77	0.4629849911	1.250497862
78	0.4629674982	1.249559827
79	0.4631949061	1.248721972
80	0.4633873281	1.24803712
81	0.4635447644	1.247120229
82	0.4639296085	1.246583371
83	0.4638596368	1.245853237
84	0.4636672148	1.24515734
85	0.4639995802	1.244352031
86	0.4639471014	1.243831485
87	0.4643319456	1.243259755
88	0.4639645943	1.242425085
89	0.4641920022	1.241525864
90	0.4645243676	1.240679128
91	0.4652415772	1.240020083
92	0.4653465347	1.239335132
93	0.4660287584	1.238527594
94	0.4659063079	1.237917896
95	0.4664835742	1.237405609
96	0.4668509254	1.23669815
97	0.4670083616	1.236126973
98	0.4671483049	1.235402088
99	0.4686352027	1.234813245
100	0.4691250044	1.233830169
