iter	Passed	Remaining
0	1732	1730601
1	3504	1748749
2	5293	1759153
3	7012	1746041
4	8820	1755246
5	10592	1754788
6	12333	1749663
7	14087	1746880
8	15832	1743376
9	17620	1744413
10	19371	1741641
11	21089	1736398
12	22856	1735299
13	24584	1731419
14	26334	1729316
15	28069	1726246
16	29812	1723881
17	31551	1721318
18	33292	1718967
19	35045	1717218
20	36780	1714679
21	38521	1712441
22	40260	1710204
23	42006	1708255
24	43743	1705989
25	45469	1703359
26	47189	1700560
27	48934	1698709
28	50663	1696355
29	52412	1694677
30	54164	1693086
31	55921	1691614
32	57652	1689397
33	59444	1688921
34	61175	1686698
35	62958	1685881
36	64712	1684279
37	66447	1682166
38	68234	1681368
39	69949	1678797
40	71691	1676877
41	73441	1675174
42	75230	1674307
43	76955	1672039
44	78684	1669870
45	80413	1667698
46	82189	1666517
47	83936	1664730
48	85694	1663166
49	87435	1661274
50	89161	1659098
51	90907	1657306
52	92607	1654703
53	94329	1652516
54	96037	1650095
55	97782	1648331
56	99523	1646510
57	101303	1645310
58	103046	1643502
59	104763	1641296
60	106495	1639325
61	108225	1637342
62	109951	1635316
63	111683	1633376
64	113454	1632001
65	115180	1629972
66	116898	1627848
67	118678	1626587
68	120475	1625548
69	122175	1623188
70	123889	1621033
71	125622	1619137
72	127353	1617211
73	129107	1615583
74	130838	1613675
75	132576	1611850
76	134392	1610961
77	136168	1609587
78	137954	1608303
79	139713	1606707
80	141487	1605276
81	143313	1604408
82	145040	1602438
83	146783	1600638
84	148536	1598952
85	150267	1597032
86	152026	1595402
87	153780	1593720
88	155546	1592170
89	157298	1590461
90	159085	1589103
91	160831	1587340
92	162566	1585455
93	164363	1584188
94	166121	1582526
95	167865	1580730
96	169644	1579271
97	171394	1577526
98	173171	1576033
99	175044	1575401
100	176823	1573906
101	178594	1572332
102	180412	1571165
103	182142	1569226
104	183921	1567708
105	185665	1565896
106	187435	1564301
107	189211	1562746
108	190954	1560922
109	192724	1559317
110	194534	1558028
111	196283	1556249
112	198051	1554618
113	199824	1553020
114	201598	1551433
115	203361	1549756
116	205112	1547988
117	206914	1546601
118	208657	1544764
119	210449	1543293
120	212189	1541444
121	213930	1539597
122	215669	1537738
123	217421	1535979
124	219150	1534056
125	220915	1532378
126	222668	1530624
127	224415	1528830
128	226158	1527006
129	227889	1525104
130	229619	1523198
131	231368	1521424
132	233137	1519776
133	234904	1518113
134	236645	1516281
135	238423	1514692
136	240180	1512964
137	241916	1511099
138	243663	1509311
139	245443	1507725
140	247254	1506324
141	249064	1504910
142	250855	1503379
143	252645	1501838
144	254475	1500527
145	256260	1498946
146	258037	1497319
147	259841	1495843
148	261655	1494418
149	263460	1492943
150	265243	1491337
151	267021	1489698
